LinearShuntCompensator cap2 n611 C _B2D1F8E7-90DF-4773-8703-549946B9DEC9 _4133D734-968F-462B-9433-F3F3C2C20130
LinearShuntCompensator cap1 n675 A _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
LinearShuntCompensator cap1 n675 B _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
LinearShuntCompensator cap1 n675 C _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
PowerTransformer RatioTapChanger Reg 2 rg60 A _6D2E888E-3BEA-4AEA-B3AC-A91D4CAC55A6 _CDC5C099-5058-42AD-981F-57DD5F5D2655
PowerElectronicsConnection BatteryUnit DER_611_c_15 DER_611_c_15 tlx_611_c_h_15 s2 _45768DAC-A1B4-4777-A442-1353AE8EEA2A _B88A2C6E-F697-4459-8B97-73063E70EE0C
PowerElectronicsConnection BatteryUnit DER_611_c_16 DER_611_c_16 tlx_611_c_h_16 SoC _9ADDF59A-741C-498F-BE06-C1A969751892 _4589EC28-311C-4D96-8DC8-A76011B62DA8
PowerElectronicsConnection BatteryUnit DER_611_c_16 DER_611_c_16 tlx_611_c_h_16 s1 _9ADDF59A-741C-498F-BE06-C1A969751892 _4589EC28-311C-4D96-8DC8-A76011B62DA8
PowerElectronicsConnection BatteryUnit DER_611_c_16 DER_611_c_16 tlx_611_c_h_16 s2 _9ADDF59A-741C-498F-BE06-C1A969751892 _4589EC28-311C-4D96-8DC8-A76011B62DA8
PowerElectronicsConnection BatteryUnit DER_611_c_17 DER_611_c_17 tlx_611_c_h_17 SoC _780361DC-E47C-4FBB-864A-92B7F9C48CE8 _7EA41D05-F76F-473C-AB87-BAC1A4DAF8C3
PowerElectronicsConnection BatteryUnit DER_611_c_17 DER_611_c_17 tlx_611_c_h_17 s1 _780361DC-E47C-4FBB-864A-92B7F9C48CE8 _7EA41D05-F76F-473C-AB87-BAC1A4DAF8C3
PowerElectronicsConnection BatteryUnit DER_611_c_17 DER_611_c_17 tlx_611_c_h_17 s2 _780361DC-E47C-4FBB-864A-92B7F9C48CE8 _7EA41D05-F76F-473C-AB87-BAC1A4DAF8C3
PowerElectronicsConnection BatteryUnit DER_611_c_18 DER_611_c_18 tlx_611_c_h_18 SoC _9E9D4C1D-115A-4BE1-BB4D-242CE7793139 _F0EDDD25-53D0-45CB-A773-FC5EB25F5B80
PowerElectronicsConnection BatteryUnit DER_611_c_18 DER_611_c_18 tlx_611_c_h_18 s1 _9E9D4C1D-115A-4BE1-BB4D-242CE7793139 _F0EDDD25-53D0-45CB-A773-FC5EB25F5B80
PowerElectronicsConnection BatteryUnit DER_611_c_18 DER_611_c_18 tlx_611_c_h_18 s2 _9E9D4C1D-115A-4BE1-BB4D-242CE7793139 _F0EDDD25-53D0-45CB-A773-FC5EB25F5B80
PowerElectronicsConnection BatteryUnit DER_611_c_19 DER_611_c_19 tlx_611_c_h_19 SoC _D5C592D0-06FF-4FB9-AAB8-C88895EFCAD3 _92718F3F-2BF1-4796-B195-DE411653E765
PowerElectronicsConnection BatteryUnit DER_611_c_19 DER_611_c_19 tlx_611_c_h_19 s1 _D5C592D0-06FF-4FB9-AAB8-C88895EFCAD3 _92718F3F-2BF1-4796-B195-DE411653E765
PowerElectronicsConnection BatteryUnit DER_611_c_19 DER_611_c_19 tlx_611_c_h_19 s2 _D5C592D0-06FF-4FB9-AAB8-C88895EFCAD3 _92718F3F-2BF1-4796-B195-DE411653E765
PowerElectronicsConnection BatteryUnit DER_611_c_2 DER_611_c_2 tlx_611_c_h_2 SoC _A6DE06C4-23FB-4277-9A1A-B13054D1446D _389DFDFA-2F4D-489C-AC7D-A43F418F589A
PowerElectronicsConnection BatteryUnit DER_611_c_2 DER_611_c_2 tlx_611_c_h_2 s1 _A6DE06C4-23FB-4277-9A1A-B13054D1446D _389DFDFA-2F4D-489C-AC7D-A43F418F589A
PowerElectronicsConnection BatteryUnit DER_611_c_2 DER_611_c_2 tlx_611_c_h_2 s2 _A6DE06C4-23FB-4277-9A1A-B13054D1446D _389DFDFA-2F4D-489C-AC7D-A43F418F589A
PowerElectronicsConnection BatteryUnit DER_611_c_20 DER_611_c_20 tlx_611_c_h_20 SoC _85ED229E-FBD5-4D12-BA3F-D19B9CB1FF56 _8089D641-9855-4568-B2A3-3FFF7D1D4178
PowerElectronicsConnection BatteryUnit DER_611_c_20 DER_611_c_20 tlx_611_c_h_20 s1 _85ED229E-FBD5-4D12-BA3F-D19B9CB1FF56 _8089D641-9855-4568-B2A3-3FFF7D1D4178
PowerElectronicsConnection BatteryUnit DER_611_c_20 DER_611_c_20 tlx_611_c_h_20 s2 _85ED229E-FBD5-4D12-BA3F-D19B9CB1FF56 _8089D641-9855-4568-B2A3-3FFF7D1D4178
PowerElectronicsConnection BatteryUnit DER_611_c_21 DER_611_c_21 tlx_611_c_h_21 SoC _F3A4A01B-3E27-4FC0-8570-1A30752C30F1 _05FF829D-5D20-4FF7-9031-B17B3BC634D1
PowerElectronicsConnection BatteryUnit DER_611_c_21 DER_611_c_21 tlx_611_c_h_21 s1 _F3A4A01B-3E27-4FC0-8570-1A30752C30F1 _05FF829D-5D20-4FF7-9031-B17B3BC634D1
PowerElectronicsConnection BatteryUnit DER_611_c_21 DER_611_c_21 tlx_611_c_h_21 s2 _F3A4A01B-3E27-4FC0-8570-1A30752C30F1 _05FF829D-5D20-4FF7-9031-B17B3BC634D1
PowerElectronicsConnection BatteryUnit DER_611_c_22 DER_611_c_22 tlx_611_c_h_22 SoC _1FCF8ED1-53E9-4224-A89A-9268A634B3EC _19854198-2A68-4AD1-8999-DB9A6C5CE125
PowerElectronicsConnection BatteryUnit DER_611_c_22 DER_611_c_22 tlx_611_c_h_22 s1 _1FCF8ED1-53E9-4224-A89A-9268A634B3EC _19854198-2A68-4AD1-8999-DB9A6C5CE125
PowerElectronicsConnection BatteryUnit DER_611_c_22 DER_611_c_22 tlx_611_c_h_22 s2 _1FCF8ED1-53E9-4224-A89A-9268A634B3EC _19854198-2A68-4AD1-8999-DB9A6C5CE125
PowerElectronicsConnection BatteryUnit DER_611_c_23 DER_611_c_23 tlx_611_c_h_23 SoC _FEC430B4-CDA7-4D87-ADDC-1F29A64B810D _F5679C94-0106-4E39-870C-282105A3BC55
PowerElectronicsConnection BatteryUnit DER_611_c_23 DER_611_c_23 tlx_611_c_h_23 s1 _FEC430B4-CDA7-4D87-ADDC-1F29A64B810D _F5679C94-0106-4E39-870C-282105A3BC55
PowerElectronicsConnection BatteryUnit DER_611_c_23 DER_611_c_23 tlx_611_c_h_23 s2 _FEC430B4-CDA7-4D87-ADDC-1F29A64B810D _F5679C94-0106-4E39-870C-282105A3BC55
PowerElectronicsConnection BatteryUnit DER_611_c_24 DER_611_c_24 tlx_611_c_h_24 SoC _F8FD3D6D-3BA2-4005-885F-916A7B18ED83 _28B10AC3-9381-4F63-8741-CC7B2ADD1081
PowerElectronicsConnection BatteryUnit DER_611_c_24 DER_611_c_24 tlx_611_c_h_24 s1 _F8FD3D6D-3BA2-4005-885F-916A7B18ED83 _28B10AC3-9381-4F63-8741-CC7B2ADD1081
PowerElectronicsConnection BatteryUnit DER_611_c_24 DER_611_c_24 tlx_611_c_h_24 s2 _F8FD3D6D-3BA2-4005-885F-916A7B18ED83 _28B10AC3-9381-4F63-8741-CC7B2ADD1081
PowerElectronicsConnection BatteryUnit DER_611_c_25 DER_611_c_25 tlx_611_c_h_25 SoC _834603E1-2DB9-4BF1-8AD7-93721741638F _EAD35AD6-CA5B-4526-BDB7-2A28A40D1483
PowerElectronicsConnection BatteryUnit DER_611_c_25 DER_611_c_25 tlx_611_c_h_25 s1 _834603E1-2DB9-4BF1-8AD7-93721741638F _EAD35AD6-CA5B-4526-BDB7-2A28A40D1483
PowerElectronicsConnection BatteryUnit DER_611_c_25 DER_611_c_25 tlx_611_c_h_25 s2 _834603E1-2DB9-4BF1-8AD7-93721741638F _EAD35AD6-CA5B-4526-BDB7-2A28A40D1483
PowerElectronicsConnection BatteryUnit DER_611_c_26 DER_611_c_26 tlx_611_c_h_26 SoC _00DA02AD-5B23-4E6D-86F4-FFEE1748798B _4D3D8722-8811-48E9-829D-401021AE0F99
PowerElectronicsConnection BatteryUnit DER_611_c_26 DER_611_c_26 tlx_611_c_h_26 s1 _00DA02AD-5B23-4E6D-86F4-FFEE1748798B _4D3D8722-8811-48E9-829D-401021AE0F99
PowerElectronicsConnection BatteryUnit DER_611_c_26 DER_611_c_26 tlx_611_c_h_26 s2 _00DA02AD-5B23-4E6D-86F4-FFEE1748798B _4D3D8722-8811-48E9-829D-401021AE0F99
PowerElectronicsConnection BatteryUnit DER_611_c_27 DER_611_c_27 tlx_611_c_h_27 SoC _2D7ED1C9-7C0C-44CF-A4F3-FB0BF64F198A _CBA3F443-02E8-4763-B607-E560B1D95915
PowerElectronicsConnection BatteryUnit DER_611_c_27 DER_611_c_27 tlx_611_c_h_27 s1 _2D7ED1C9-7C0C-44CF-A4F3-FB0BF64F198A _CBA3F443-02E8-4763-B607-E560B1D95915
PowerElectronicsConnection BatteryUnit DER_611_c_27 DER_611_c_27 tlx_611_c_h_27 s2 _2D7ED1C9-7C0C-44CF-A4F3-FB0BF64F198A _CBA3F443-02E8-4763-B607-E560B1D95915
PowerElectronicsConnection BatteryUnit DER_611_c_28 DER_611_c_28 tlx_611_c_h_28 SoC _6E9780BC-4C7F-4510-B354-32A7D71C87CE _075C6EF2-89B5-422A-90CE-B7DE0D9FD8D4
PowerElectronicsConnection BatteryUnit DER_611_c_28 DER_611_c_28 tlx_611_c_h_28 s1 _6E9780BC-4C7F-4510-B354-32A7D71C87CE _075C6EF2-89B5-422A-90CE-B7DE0D9FD8D4
PowerElectronicsConnection BatteryUnit DER_611_c_28 DER_611_c_28 tlx_611_c_h_28 s2 _6E9780BC-4C7F-4510-B354-32A7D71C87CE _075C6EF2-89B5-422A-90CE-B7DE0D9FD8D4
PowerElectronicsConnection BatteryUnit DER_611_c_29 DER_611_c_29 tlx_611_c_h_29 SoC _223B4BCF-1102-4424-B37B-CFD5986ED0F4 _E8224452-C5F7-4C19-B44A-E06FC77BFECE
PowerElectronicsConnection BatteryUnit DER_611_c_29 DER_611_c_29 tlx_611_c_h_29 s1 _223B4BCF-1102-4424-B37B-CFD5986ED0F4 _E8224452-C5F7-4C19-B44A-E06FC77BFECE
PowerElectronicsConnection BatteryUnit DER_611_c_29 DER_611_c_29 tlx_611_c_h_29 s2 _223B4BCF-1102-4424-B37B-CFD5986ED0F4 _E8224452-C5F7-4C19-B44A-E06FC77BFECE
PowerElectronicsConnection BatteryUnit DER_611_c_3 DER_611_c_3 tlx_611_c_h_3 SoC _BB2F1CFA-9C24-46DB-8EDA-BD5BE6F95868 _85BF607F-47EC-4F44-950B-1FA38610A7E2
PowerElectronicsConnection BatteryUnit DER_611_c_3 DER_611_c_3 tlx_611_c_h_3 s1 _BB2F1CFA-9C24-46DB-8EDA-BD5BE6F95868 _85BF607F-47EC-4F44-950B-1FA38610A7E2
PowerElectronicsConnection BatteryUnit DER_611_c_3 DER_611_c_3 tlx_611_c_h_3 s2 _BB2F1CFA-9C24-46DB-8EDA-BD5BE6F95868 _85BF607F-47EC-4F44-950B-1FA38610A7E2
PowerElectronicsConnection BatteryUnit DER_611_c_30 DER_611_c_30 tlx_611_c_h_30 SoC _09F74A5E-8E92-4DF9-B965-F3CC3BC93179 _ABC19364-9733-4D2A-8E5B-0FFDBB7A7D0B
PowerElectronicsConnection BatteryUnit DER_611_c_30 DER_611_c_30 tlx_611_c_h_30 s1 _09F74A5E-8E92-4DF9-B965-F3CC3BC93179 _ABC19364-9733-4D2A-8E5B-0FFDBB7A7D0B
PowerElectronicsConnection BatteryUnit DER_611_c_30 DER_611_c_30 tlx_611_c_h_30 s2 _09F74A5E-8E92-4DF9-B965-F3CC3BC93179 _ABC19364-9733-4D2A-8E5B-0FFDBB7A7D0B
PowerElectronicsConnection BatteryUnit DER_611_c_31 DER_611_c_31 tlx_611_c_h_31 SoC _FA03225E-DEAE-414D-9466-9342F2C54732 _114C08B3-6F53-4094-AA35-EEE83FCADF6C
PowerElectronicsConnection BatteryUnit DER_611_c_31 DER_611_c_31 tlx_611_c_h_31 s1 _FA03225E-DEAE-414D-9466-9342F2C54732 _114C08B3-6F53-4094-AA35-EEE83FCADF6C
PowerElectronicsConnection BatteryUnit DER_611_c_31 DER_611_c_31 tlx_611_c_h_31 s2 _FA03225E-DEAE-414D-9466-9342F2C54732 _114C08B3-6F53-4094-AA35-EEE83FCADF6C
PowerElectronicsConnection BatteryUnit DER_611_c_32 DER_611_c_32 tlx_611_c_h_32 SoC _F2B7C466-EFA0-442F-8558-0A8A03BB1F2E _82EC6BF7-7890-4396-9461-1521EF90B715
PowerElectronicsConnection BatteryUnit DER_611_c_32 DER_611_c_32 tlx_611_c_h_32 s1 _F2B7C466-EFA0-442F-8558-0A8A03BB1F2E _82EC6BF7-7890-4396-9461-1521EF90B715
PowerElectronicsConnection BatteryUnit DER_611_c_32 DER_611_c_32 tlx_611_c_h_32 s2 _F2B7C466-EFA0-442F-8558-0A8A03BB1F2E _82EC6BF7-7890-4396-9461-1521EF90B715
PowerElectronicsConnection BatteryUnit DER_611_c_33 DER_611_c_33 tlx_611_c_h_33 SoC _8430E9A4-3102-4E92-B67E-8DABC82397EE _B39FCB2F-36D4-4693-AD24-60A59DA8A860
PowerElectronicsConnection BatteryUnit DER_611_c_33 DER_611_c_33 tlx_611_c_h_33 s1 _8430E9A4-3102-4E92-B67E-8DABC82397EE _B39FCB2F-36D4-4693-AD24-60A59DA8A860
PowerElectronicsConnection BatteryUnit DER_611_c_33 DER_611_c_33 tlx_611_c_h_33 s2 _8430E9A4-3102-4E92-B67E-8DABC82397EE _B39FCB2F-36D4-4693-AD24-60A59DA8A860
PowerElectronicsConnection BatteryUnit DER_611_c_34 DER_611_c_34 tlx_611_c_h_34 SoC _5135DE58-1EC7-4E7D-A1EE-EDE7A7E2BC3A _2118EBB8-38C4-49EA-8FA3-BAB906CBFDDF
PowerElectronicsConnection BatteryUnit DER_611_c_34 DER_611_c_34 tlx_611_c_h_34 s1 _5135DE58-1EC7-4E7D-A1EE-EDE7A7E2BC3A _2118EBB8-38C4-49EA-8FA3-BAB906CBFDDF
PowerElectronicsConnection BatteryUnit DER_611_c_34 DER_611_c_34 tlx_611_c_h_34 s2 _5135DE58-1EC7-4E7D-A1EE-EDE7A7E2BC3A _2118EBB8-38C4-49EA-8FA3-BAB906CBFDDF
PowerElectronicsConnection BatteryUnit DER_611_c_35 DER_611_c_35 tlx_611_c_h_35 SoC _C5EEAD2A-0C75-4D92-B3C2-658B2FBF2EF6 _9C9F4EDF-8D01-41B2-A273-0FBA2FE77362
PowerElectronicsConnection BatteryUnit DER_611_c_35 DER_611_c_35 tlx_611_c_h_35 s1 _C5EEAD2A-0C75-4D92-B3C2-658B2FBF2EF6 _9C9F4EDF-8D01-41B2-A273-0FBA2FE77362
PowerElectronicsConnection BatteryUnit DER_611_c_35 DER_611_c_35 tlx_611_c_h_35 s2 _C5EEAD2A-0C75-4D92-B3C2-658B2FBF2EF6 _9C9F4EDF-8D01-41B2-A273-0FBA2FE77362
PowerElectronicsConnection BatteryUnit DER_611_c_36 DER_611_c_36 tlx_611_c_h_36 SoC _8CF03F85-9443-4254-9DEF-383D8EF1BE74 _915F4423-4DDF-427A-A99A-26A9AC35DE83
PowerElectronicsConnection BatteryUnit DER_611_c_36 DER_611_c_36 tlx_611_c_h_36 s1 _8CF03F85-9443-4254-9DEF-383D8EF1BE74 _915F4423-4DDF-427A-A99A-26A9AC35DE83
PowerElectronicsConnection BatteryUnit DER_611_c_36 DER_611_c_36 tlx_611_c_h_36 s2 _8CF03F85-9443-4254-9DEF-383D8EF1BE74 _915F4423-4DDF-427A-A99A-26A9AC35DE83
PowerElectronicsConnection BatteryUnit DER_611_c_37 DER_611_c_37 tlx_611_c_h_37 SoC _8A786B35-6C01-4CE7-A7CF-4784878AB8E1 _3CCC112F-20A1-459D-BC74-CE596B68C458
PowerElectronicsConnection BatteryUnit DER_611_c_37 DER_611_c_37 tlx_611_c_h_37 s1 _8A786B35-6C01-4CE7-A7CF-4784878AB8E1 _3CCC112F-20A1-459D-BC74-CE596B68C458
PowerElectronicsConnection BatteryUnit DER_611_c_37 DER_611_c_37 tlx_611_c_h_37 s2 _8A786B35-6C01-4CE7-A7CF-4784878AB8E1 _3CCC112F-20A1-459D-BC74-CE596B68C458
PowerElectronicsConnection BatteryUnit DER_611_c_38 DER_611_c_38 tlx_611_c_h_38 SoC _1B9D9508-B10D-48E2-B3CA-C414239E8E25 _D92ED88B-3EAF-4D17-93B1-4186060CD9DB
PowerElectronicsConnection BatteryUnit DER_611_c_38 DER_611_c_38 tlx_611_c_h_38 s1 _1B9D9508-B10D-48E2-B3CA-C414239E8E25 _D92ED88B-3EAF-4D17-93B1-4186060CD9DB
PowerElectronicsConnection BatteryUnit DER_611_c_38 DER_611_c_38 tlx_611_c_h_38 s2 _1B9D9508-B10D-48E2-B3CA-C414239E8E25 _D92ED88B-3EAF-4D17-93B1-4186060CD9DB
PowerElectronicsConnection BatteryUnit DER_611_c_39 DER_611_c_39 tlx_611_c_h_39 SoC _B5BC3255-6B80-4D3E-B4D8-4D297F9D5284 _0181E874-1419-4C91-861E-5C43A3FB82B7
PowerElectronicsConnection BatteryUnit DER_611_c_39 DER_611_c_39 tlx_611_c_h_39 s1 _B5BC3255-6B80-4D3E-B4D8-4D297F9D5284 _0181E874-1419-4C91-861E-5C43A3FB82B7
PowerElectronicsConnection BatteryUnit DER_611_c_39 DER_611_c_39 tlx_611_c_h_39 s2 _B5BC3255-6B80-4D3E-B4D8-4D297F9D5284 _0181E874-1419-4C91-861E-5C43A3FB82B7
PowerElectronicsConnection BatteryUnit DER_611_c_4 DER_611_c_4 tlx_611_c_h_4 SoC _390BF920-0E7E-499F-939E-4796C02F8C63 _51F67130-D42B-4C7B-B79A-8A9EABA21960
PowerElectronicsConnection BatteryUnit DER_611_c_4 DER_611_c_4 tlx_611_c_h_4 s1 _390BF920-0E7E-499F-939E-4796C02F8C63 _51F67130-D42B-4C7B-B79A-8A9EABA21960
PowerElectronicsConnection BatteryUnit DER_611_c_4 DER_611_c_4 tlx_611_c_h_4 s2 _390BF920-0E7E-499F-939E-4796C02F8C63 _51F67130-D42B-4C7B-B79A-8A9EABA21960
PowerElectronicsConnection BatteryUnit DER_611_c_40 DER_611_c_40 tlx_611_c_h_40 SoC _4CE70D05-A09A-4486-BDE0-1E6ACE5E3A8A _BA62BE45-B08A-42BB-A2A5-9C3B4B368B69
PowerElectronicsConnection BatteryUnit DER_611_c_40 DER_611_c_40 tlx_611_c_h_40 s1 _4CE70D05-A09A-4486-BDE0-1E6ACE5E3A8A _BA62BE45-B08A-42BB-A2A5-9C3B4B368B69
PowerElectronicsConnection BatteryUnit DER_611_c_40 DER_611_c_40 tlx_611_c_h_40 s2 _4CE70D05-A09A-4486-BDE0-1E6ACE5E3A8A _BA62BE45-B08A-42BB-A2A5-9C3B4B368B69
PowerElectronicsConnection BatteryUnit DER_611_c_5 DER_611_c_5 tlx_611_c_h_5 SoC _5D6A741B-C87B-4E2C-B54C-9E7E94175F6E _3BE19127-0635-4E64-A507-78C74701CE88
PowerElectronicsConnection BatteryUnit DER_611_c_5 DER_611_c_5 tlx_611_c_h_5 s1 _5D6A741B-C87B-4E2C-B54C-9E7E94175F6E _3BE19127-0635-4E64-A507-78C74701CE88
PowerElectronicsConnection BatteryUnit DER_611_c_5 DER_611_c_5 tlx_611_c_h_5 s2 _5D6A741B-C87B-4E2C-B54C-9E7E94175F6E _3BE19127-0635-4E64-A507-78C74701CE88
PowerElectronicsConnection BatteryUnit DER_611_c_6 DER_611_c_6 tlx_611_c_h_6 SoC _E6139ED3-846E-49BC-A9F3-F71590615F21 _7FD295D7-6191-4841-90FD-F4CF98ADA35F
PowerElectronicsConnection BatteryUnit DER_611_c_6 DER_611_c_6 tlx_611_c_h_6 s1 _E6139ED3-846E-49BC-A9F3-F71590615F21 _7FD295D7-6191-4841-90FD-F4CF98ADA35F
PowerElectronicsConnection BatteryUnit DER_611_c_6 DER_611_c_6 tlx_611_c_h_6 s2 _E6139ED3-846E-49BC-A9F3-F71590615F21 _7FD295D7-6191-4841-90FD-F4CF98ADA35F
PowerElectronicsConnection BatteryUnit DER_611_c_7 DER_611_c_7 tlx_611_c_h_7 SoC _0184F3F7-6040-4010-93AA-3CC21F505252 _5ACC45BC-D2F3-48DB-B724-34546FA43398
PowerElectronicsConnection BatteryUnit DER_611_c_7 DER_611_c_7 tlx_611_c_h_7 s1 _0184F3F7-6040-4010-93AA-3CC21F505252 _5ACC45BC-D2F3-48DB-B724-34546FA43398
PowerElectronicsConnection BatteryUnit DER_611_c_7 DER_611_c_7 tlx_611_c_h_7 s2 _0184F3F7-6040-4010-93AA-3CC21F505252 _5ACC45BC-D2F3-48DB-B724-34546FA43398
PowerElectronicsConnection BatteryUnit DER_611_c_8 DER_611_c_8 tlx_611_c_h_8 SoC _94C5663B-8F4A-4497-82AC-1BAB6412EF38 _BFB2C294-02EF-44D5-B74E-7C34C584F337
PowerElectronicsConnection BatteryUnit DER_611_c_8 DER_611_c_8 tlx_611_c_h_8 s1 _94C5663B-8F4A-4497-82AC-1BAB6412EF38 _BFB2C294-02EF-44D5-B74E-7C34C584F337
PowerElectronicsConnection BatteryUnit DER_611_c_8 DER_611_c_8 tlx_611_c_h_8 s2 _94C5663B-8F4A-4497-82AC-1BAB6412EF38 _BFB2C294-02EF-44D5-B74E-7C34C584F337
PowerElectronicsConnection BatteryUnit DER_611_c_9 DER_611_c_9 tlx_611_c_h_9 SoC _8EC5EEE7-64B4-4BF7-9B08-FB93E425936C _71DA6AF3-87AE-49EE-8AFE-487F7B6F87DC
PowerElectronicsConnection BatteryUnit DER_611_c_9 DER_611_c_9 tlx_611_c_h_9 s1 _8EC5EEE7-64B4-4BF7-9B08-FB93E425936C _71DA6AF3-87AE-49EE-8AFE-487F7B6F87DC
PowerElectronicsConnection BatteryUnit DER_611_c_9 DER_611_c_9 tlx_611_c_h_9 s2 _8EC5EEE7-64B4-4BF7-9B08-FB93E425936C _71DA6AF3-87AE-49EE-8AFE-487F7B6F87DC
