LinearShuntCompensator cap2 611 C _9D725810-BFD6-44C6-961A-2BC027F6FC95 _FD3834FF-6C3B-434F-A41D-77EB8237F53D
LinearShuntCompensator cap1 675 A _A9DE8829-58CB-4750-B2A2-672846A89753 _5B38070B-E918-4EAA-8BDB-8B3CE4F8A917
LinearShuntCompensator cap1 675 B _A9DE8829-58CB-4750-B2A2-672846A89753 _5B38070B-E918-4EAA-8BDB-8B3CE4F8A917
LinearShuntCompensator cap1 675 C _A9DE8829-58CB-4750-B2A2-672846A89753 _5B38070B-E918-4EAA-8BDB-8B3CE4F8A917
PowerTransformer RatioTapChanger Reg 2 rg60 A _67B57539-590B-4158-9CBB-9DBA2FE6C1F0 _5A1120EE-0F2A-4698-9FF5-0F0F4F507BAF
PowerElectronicsConnection BatteryUnit DER_Association_Test_6323 DER_Association_Test_6323_Battery 632 A _21967842-61FB-4866-A4CC-1053DDCB1FF7 _F0B44989-B8AE-42C5-89D4-737B2E2ECB69
PowerElectronicsConnection BatteryUnit DER_Association_Test_6323 DER_Association_Test_6323_Battery 632 B _21967842-61FB-4866-A4CC-1053DDCB1FF7 _F0B44989-B8AE-42C5-89D4-737B2E2ECB69
PowerElectronicsConnection BatteryUnit DER_Association_Test_6323 DER_Association_Test_6323_Battery 632 C _21967842-61FB-4866-A4CC-1053DDCB1FF7 _F0B44989-B8AE-42C5-89D4-737B2E2ECB69
PowerElectronicsConnection BatteryUnit DER_Association_Test_6331 DER_Association_Test_6331_Battery 633 SoC _8586780B-1DC3-4AF7-97CC-B756F3D38C68 _89A3C165-B4E7-4C8F-9B54-3B57B66B2236
PowerElectronicsConnection BatteryUnit DER_Association_Test_6331 DER_Association_Test_6331_Battery 633 A _8586780B-1DC3-4AF7-97CC-B756F3D38C68 _89A3C165-B4E7-4C8F-9B54-3B57B66B2236
PowerElectronicsConnection BatteryUnit DER_Association_Test_6331 DER_Association_Test_6331_Battery 633 B _8586780B-1DC3-4AF7-97CC-B756F3D38C68 _89A3C165-B4E7-4C8F-9B54-3B57B66B2236
PowerElectronicsConnection BatteryUnit DER_Association_Test_6331 DER_Association_Test_6331_Battery 633 C _8586780B-1DC3-4AF7-97CC-B756F3D38C68 _89A3C165-B4E7-4C8F-9B54-3B57B66B2236
PowerElectronicsConnection BatteryUnit DER_Association_Test_6332 DER_Association_Test_6332_Battery 633 SoC _8D20D15B-F377-4752-A043-E59288AD870B _FCBA16D3-1755-4F32-89D7-04CC502CCEB6
PowerElectronicsConnection BatteryUnit DER_Association_Test_6332 DER_Association_Test_6332_Battery 633 A _8D20D15B-F377-4752-A043-E59288AD870B _FCBA16D3-1755-4F32-89D7-04CC502CCEB6
PowerElectronicsConnection BatteryUnit DER_Association_Test_6332 DER_Association_Test_6332_Battery 633 B _8D20D15B-F377-4752-A043-E59288AD870B _FCBA16D3-1755-4F32-89D7-04CC502CCEB6
PowerElectronicsConnection BatteryUnit DER_Association_Test_6332 DER_Association_Test_6332_Battery 633 C _8D20D15B-F377-4752-A043-E59288AD870B _FCBA16D3-1755-4F32-89D7-04CC502CCEB6
PowerElectronicsConnection BatteryUnit DER_Association_Test_6333 DER_Association_Test_6333_Battery 633 SoC _340D4B63-F7D2-4061-8F35-B165D7C367CA _0242777E-8DE1-4AEE-AE1E-371EFBFB21D0
PowerElectronicsConnection BatteryUnit DER_Association_Test_6333 DER_Association_Test_6333_Battery 633 A _340D4B63-F7D2-4061-8F35-B165D7C367CA _0242777E-8DE1-4AEE-AE1E-371EFBFB21D0
PowerElectronicsConnection BatteryUnit DER_Association_Test_6333 DER_Association_Test_6333_Battery 633 B _340D4B63-F7D2-4061-8F35-B165D7C367CA _0242777E-8DE1-4AEE-AE1E-371EFBFB21D0
PowerElectronicsConnection BatteryUnit DER_Association_Test_6333 DER_Association_Test_6333_Battery 633 C _340D4B63-F7D2-4061-8F35-B165D7C367CA _0242777E-8DE1-4AEE-AE1E-371EFBFB21D0
PowerElectronicsConnection BatteryUnit DER_Association_Test_6341 DER_Association_Test_6341_Battery 634 SoC _CB97F7F9-44E7-4D65-925D-ACAAE225DF09 _13F96CB5-AC33-47F8-B550-4FF39E992595
PowerElectronicsConnection BatteryUnit DER_Association_Test_6341 DER_Association_Test_6341_Battery 634 A _CB97F7F9-44E7-4D65-925D-ACAAE225DF09 _13F96CB5-AC33-47F8-B550-4FF39E992595
PowerElectronicsConnection BatteryUnit DER_Association_Test_6341 DER_Association_Test_6341_Battery 634 B _CB97F7F9-44E7-4D65-925D-ACAAE225DF09 _13F96CB5-AC33-47F8-B550-4FF39E992595
PowerElectronicsConnection BatteryUnit DER_Association_Test_6341 DER_Association_Test_6341_Battery 634 C _CB97F7F9-44E7-4D65-925D-ACAAE225DF09 _13F96CB5-AC33-47F8-B550-4FF39E992595
PowerElectronicsConnection BatteryUnit DER_Association_Test_6342 DER_Association_Test_6342_Battery 634 SoC _6D5EBC35-BEF9-478E-86F3-EE10587957F0 _E4C3E985-783E-4600-B75B-E936246AE0A2
PowerElectronicsConnection BatteryUnit DER_Association_Test_6342 DER_Association_Test_6342_Battery 634 A _6D5EBC35-BEF9-478E-86F3-EE10587957F0 _E4C3E985-783E-4600-B75B-E936246AE0A2
PowerElectronicsConnection BatteryUnit DER_Association_Test_6342 DER_Association_Test_6342_Battery 634 B _6D5EBC35-BEF9-478E-86F3-EE10587957F0 _E4C3E985-783E-4600-B75B-E936246AE0A2
PowerElectronicsConnection BatteryUnit DER_Association_Test_6342 DER_Association_Test_6342_Battery 634 C _6D5EBC35-BEF9-478E-86F3-EE10587957F0 _E4C3E985-783E-4600-B75B-E936246AE0A2
PowerElectronicsConnection BatteryUnit DER_Association_Test_6343 DER_Association_Test_6343_Battery 634 SoC _92ACC144-12E6-43D5-99C0-4327F6C9A5B6 _3207374B-1EA7-4E16-992B-8A82D96DB5E7
PowerElectronicsConnection BatteryUnit DER_Association_Test_6343 DER_Association_Test_6343_Battery 634 A _92ACC144-12E6-43D5-99C0-4327F6C9A5B6 _3207374B-1EA7-4E16-992B-8A82D96DB5E7
PowerElectronicsConnection BatteryUnit DER_Association_Test_6343 DER_Association_Test_6343_Battery 634 B _92ACC144-12E6-43D5-99C0-4327F6C9A5B6 _3207374B-1EA7-4E16-992B-8A82D96DB5E7
PowerElectronicsConnection BatteryUnit DER_Association_Test_6343 DER_Association_Test_6343_Battery 634 C _92ACC144-12E6-43D5-99C0-4327F6C9A5B6 _3207374B-1EA7-4E16-992B-8A82D96DB5E7
PowerElectronicsConnection BatteryUnit DER_Association_Test_6711 DER_Association_Test_6711_Battery 671 SoC _074A8CB5-75F6-4A84-9F98-BD07E7B28E23 _824193CC-0765-41F9-9D24-DC074D3D8CED
PowerElectronicsConnection BatteryUnit DER_Association_Test_6711 DER_Association_Test_6711_Battery 671 A _074A8CB5-75F6-4A84-9F98-BD07E7B28E23 _824193CC-0765-41F9-9D24-DC074D3D8CED
PowerElectronicsConnection BatteryUnit DER_Association_Test_6711 DER_Association_Test_6711_Battery 671 B _074A8CB5-75F6-4A84-9F98-BD07E7B28E23 _824193CC-0765-41F9-9D24-DC074D3D8CED
PowerElectronicsConnection BatteryUnit DER_Association_Test_6711 DER_Association_Test_6711_Battery 671 C _074A8CB5-75F6-4A84-9F98-BD07E7B28E23 _824193CC-0765-41F9-9D24-DC074D3D8CED
PowerElectronicsConnection BatteryUnit DER_Association_Test_6712 DER_Association_Test_6712_Battery 671 SoC _E8238EA6-1873-4BF2-B73D-6927C361FF5A _D6FC904E-739F-4022-8BE9-79FBFB478712
PowerElectronicsConnection BatteryUnit DER_Association_Test_6712 DER_Association_Test_6712_Battery 671 A _E8238EA6-1873-4BF2-B73D-6927C361FF5A _D6FC904E-739F-4022-8BE9-79FBFB478712
PowerElectronicsConnection BatteryUnit DER_Association_Test_6712 DER_Association_Test_6712_Battery 671 B _E8238EA6-1873-4BF2-B73D-6927C361FF5A _D6FC904E-739F-4022-8BE9-79FBFB478712
PowerElectronicsConnection BatteryUnit DER_Association_Test_6712 DER_Association_Test_6712_Battery 671 C _E8238EA6-1873-4BF2-B73D-6927C361FF5A _D6FC904E-739F-4022-8BE9-79FBFB478712
PowerElectronicsConnection BatteryUnit DER_Association_Test_6713 DER_Association_Test_6713_Battery 671 SoC _69268435-9265-4671-A667-7C99E443F988 _7CB76857-A054-4590-8046-D1B4476428C1
PowerElectronicsConnection BatteryUnit DER_Association_Test_6713 DER_Association_Test_6713_Battery 671 A _69268435-9265-4671-A667-7C99E443F988 _7CB76857-A054-4590-8046-D1B4476428C1
PowerElectronicsConnection BatteryUnit DER_Association_Test_6713 DER_Association_Test_6713_Battery 671 B _69268435-9265-4671-A667-7C99E443F988 _7CB76857-A054-4590-8046-D1B4476428C1
PowerElectronicsConnection BatteryUnit DER_Association_Test_6713 DER_Association_Test_6713_Battery 671 C _69268435-9265-4671-A667-7C99E443F988 _7CB76857-A054-4590-8046-D1B4476428C1
PowerElectronicsConnection BatteryUnit DER_Association_Test_6751 DER_Association_Test_6751_Battery 675 SoC _14E26546-C3C5-4D92-8489-A07EC6AC8519 _271DE5D2-E80B-4CA3-9E93-5C496AE21403
PowerElectronicsConnection BatteryUnit DER_Association_Test_6751 DER_Association_Test_6751_Battery 675 A _14E26546-C3C5-4D92-8489-A07EC6AC8519 _271DE5D2-E80B-4CA3-9E93-5C496AE21403
PowerElectronicsConnection BatteryUnit DER_Association_Test_6751 DER_Association_Test_6751_Battery 675 B _14E26546-C3C5-4D92-8489-A07EC6AC8519 _271DE5D2-E80B-4CA3-9E93-5C496AE21403
PowerElectronicsConnection BatteryUnit DER_Association_Test_6751 DER_Association_Test_6751_Battery 675 C _14E26546-C3C5-4D92-8489-A07EC6AC8519 _271DE5D2-E80B-4CA3-9E93-5C496AE21403
PowerElectronicsConnection BatteryUnit DER_Association_Test_6752 DER_Association_Test_6752_Battery 675 SoC _FC358E2E-0F85-49E4-9D66-9747D3FEE05E _4FB39D73-9230-41C7-8A98-6506A79B9342
PowerElectronicsConnection BatteryUnit DER_Association_Test_6752 DER_Association_Test_6752_Battery 675 A _FC358E2E-0F85-49E4-9D66-9747D3FEE05E _4FB39D73-9230-41C7-8A98-6506A79B9342
PowerElectronicsConnection BatteryUnit DER_Association_Test_6752 DER_Association_Test_6752_Battery 675 B _FC358E2E-0F85-49E4-9D66-9747D3FEE05E _4FB39D73-9230-41C7-8A98-6506A79B9342
PowerElectronicsConnection BatteryUnit DER_Association_Test_6752 DER_Association_Test_6752_Battery 675 C _FC358E2E-0F85-49E4-9D66-9747D3FEE05E _4FB39D73-9230-41C7-8A98-6506A79B9342
PowerElectronicsConnection BatteryUnit DER_Association_Test_6753 DER_Association_Test_6753_Battery 675 SoC _88B4F0D4-6616-4A4B-AE32-EDE82B4268C0 _0D7A0E00-0292-4ABC-BD93-3A5A29594EF9
PowerElectronicsConnection BatteryUnit DER_Association_Test_6753 DER_Association_Test_6753_Battery 675 A _88B4F0D4-6616-4A4B-AE32-EDE82B4268C0 _0D7A0E00-0292-4ABC-BD93-3A5A29594EF9
PowerElectronicsConnection BatteryUnit DER_Association_Test_6753 DER_Association_Test_6753_Battery 675 B _88B4F0D4-6616-4A4B-AE32-EDE82B4268C0 _0D7A0E00-0292-4ABC-BD93-3A5A29594EF9
PowerElectronicsConnection BatteryUnit DER_Association_Test_6753 DER_Association_Test_6753_Battery 675 C _88B4F0D4-6616-4A4B-AE32-EDE82B4268C0 _0D7A0E00-0292-4ABC-BD93-3A5A29594EF9
PowerElectronicsConnection BatteryUnit DER_Association_Test_6801 DER_Association_Test_6801_Battery 680 SoC _E8E00BB1-E8B5-480B-AB33-1ABC9FD92876 _17E7BCA4-5E16-4B50-BCB2-EE4BA3343514
PowerElectronicsConnection BatteryUnit DER_Association_Test_6801 DER_Association_Test_6801_Battery 680 A _E8E00BB1-E8B5-480B-AB33-1ABC9FD92876 _17E7BCA4-5E16-4B50-BCB2-EE4BA3343514
PowerElectronicsConnection BatteryUnit DER_Association_Test_6801 DER_Association_Test_6801_Battery 680 B _E8E00BB1-E8B5-480B-AB33-1ABC9FD92876 _17E7BCA4-5E16-4B50-BCB2-EE4BA3343514
PowerElectronicsConnection BatteryUnit DER_Association_Test_6801 DER_Association_Test_6801_Battery 680 C _E8E00BB1-E8B5-480B-AB33-1ABC9FD92876 _17E7BCA4-5E16-4B50-BCB2-EE4BA3343514
PowerElectronicsConnection BatteryUnit DER_Association_Test_6802 DER_Association_Test_6802_Battery 680 SoC _C7E4E943-23D3-4702-8450-5FCDC6089F12 _17EAAB87-BA45-4DF1-ABC6-9136F73575D8
PowerElectronicsConnection BatteryUnit DER_Association_Test_6802 DER_Association_Test_6802_Battery 680 A _C7E4E943-23D3-4702-8450-5FCDC6089F12 _17EAAB87-BA45-4DF1-ABC6-9136F73575D8
PowerElectronicsConnection BatteryUnit DER_Association_Test_6802 DER_Association_Test_6802_Battery 680 B _C7E4E943-23D3-4702-8450-5FCDC6089F12 _17EAAB87-BA45-4DF1-ABC6-9136F73575D8
PowerElectronicsConnection BatteryUnit DER_Association_Test_6802 DER_Association_Test_6802_Battery 680 C _C7E4E943-23D3-4702-8450-5FCDC6089F12 _17EAAB87-BA45-4DF1-ABC6-9136F73575D8
PowerElectronicsConnection BatteryUnit DER_Association_Test_6803 DER_Association_Test_6803_Battery 680 SoC _373EA9AD-7E13-487A-8578-71363FE20FA5 _3FE1C0F3-839F-41E7-A66C-38C2B624B5CF
PowerElectronicsConnection BatteryUnit DER_Association_Test_6803 DER_Association_Test_6803_Battery 680 A _373EA9AD-7E13-487A-8578-71363FE20FA5 _3FE1C0F3-839F-41E7-A66C-38C2B624B5CF
PowerElectronicsConnection BatteryUnit DER_Association_Test_6803 DER_Association_Test_6803_Battery 680 B _373EA9AD-7E13-487A-8578-71363FE20FA5 _3FE1C0F3-839F-41E7-A66C-38C2B624B5CF
PowerElectronicsConnection BatteryUnit DER_Association_Test_6803 DER_Association_Test_6803_Battery 680 C _373EA9AD-7E13-487A-8578-71363FE20FA5 _3FE1C0F3-839F-41E7-A66C-38C2B624B5CF
PowerElectronicsConnection BatteryUnit DER_Association_Test_6921 DER_Association_Test_6921_Battery 692 SoC _6CE02749-F886-463F-9267-C4C00D0D5305 _0F5B21BD-56C7-4D86-84B5-4D8DC4961820
PowerElectronicsConnection BatteryUnit DER_Association_Test_6921 DER_Association_Test_6921_Battery 692 A _6CE02749-F886-463F-9267-C4C00D0D5305 _0F5B21BD-56C7-4D86-84B5-4D8DC4961820
PowerElectronicsConnection BatteryUnit DER_Association_Test_6921 DER_Association_Test_6921_Battery 692 B _6CE02749-F886-463F-9267-C4C00D0D5305 _0F5B21BD-56C7-4D86-84B5-4D8DC4961820
PowerElectronicsConnection BatteryUnit DER_Association_Test_6921 DER_Association_Test_6921_Battery 692 C _6CE02749-F886-463F-9267-C4C00D0D5305 _0F5B21BD-56C7-4D86-84B5-4D8DC4961820
PowerElectronicsConnection BatteryUnit DER_Association_Test_6922 DER_Association_Test_6922_Battery 692 SoC _D7B7F33C-5C33-4262-A943-4EFFF99BEFB8 _23C25EA8-A581-43EB-A22C-20D31FDD2BF6
PowerElectronicsConnection BatteryUnit DER_Association_Test_6922 DER_Association_Test_6922_Battery 692 A _D7B7F33C-5C33-4262-A943-4EFFF99BEFB8 _23C25EA8-A581-43EB-A22C-20D31FDD2BF6
PowerElectronicsConnection BatteryUnit DER_Association_Test_6922 DER_Association_Test_6922_Battery 692 B _D7B7F33C-5C33-4262-A943-4EFFF99BEFB8 _23C25EA8-A581-43EB-A22C-20D31FDD2BF6
PowerElectronicsConnection BatteryUnit DER_Association_Test_6922 DER_Association_Test_6922_Battery 692 C _D7B7F33C-5C33-4262-A943-4EFFF99BEFB8 _23C25EA8-A581-43EB-A22C-20D31FDD2BF6
PowerElectronicsConnection BatteryUnit DER_Association_Test_6923 DER_Association_Test_6923_Battery 692 SoC _00B28DF1-34D7-47E3-9A6C-5F1B0C9FD90B _1869B26B-4131-46F4-835A-BAE9E924F661
PowerElectronicsConnection BatteryUnit DER_Association_Test_6923 DER_Association_Test_6923_Battery 692 A _00B28DF1-34D7-47E3-9A6C-5F1B0C9FD90B _1869B26B-4131-46F4-835A-BAE9E924F661
PowerElectronicsConnection BatteryUnit DER_Association_Test_6923 DER_Association_Test_6923_Battery 692 B _00B28DF1-34D7-47E3-9A6C-5F1B0C9FD90B _1869B26B-4131-46F4-835A-BAE9E924F661
PowerElectronicsConnection BatteryUnit DER_Association_Test_6923 DER_Association_Test_6923_Battery 692 C _00B28DF1-34D7-47E3-9A6C-5F1B0C9FD90B _1869B26B-4131-46F4-835A-BAE9E924F661
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6321 DER_RWHDERS_Test_6321_Battery 632 SoC _895AD005-8099-4ED9-A90C-995663D8C190 _E968CF44-F4C0-442E-8A0C-F589EE4BAF88
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6321 DER_RWHDERS_Test_6321_Battery 632 A _895AD005-8099-4ED9-A90C-995663D8C190 _E968CF44-F4C0-442E-8A0C-F589EE4BAF88
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6321 DER_RWHDERS_Test_6321_Battery 632 B _895AD005-8099-4ED9-A90C-995663D8C190 _E968CF44-F4C0-442E-8A0C-F589EE4BAF88
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6321 DER_RWHDERS_Test_6321_Battery 632 C _895AD005-8099-4ED9-A90C-995663D8C190 _E968CF44-F4C0-442E-8A0C-F589EE4BAF88
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6322 DER_RWHDERS_Test_6322_Battery 632 SoC _45E6B850-23B3-4233-8829-59CFF130FAEF _7E1FDFE5-B95A-4A96-AF6A-192614CAD3EC
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6322 DER_RWHDERS_Test_6322_Battery 632 A _45E6B850-23B3-4233-8829-59CFF130FAEF _7E1FDFE5-B95A-4A96-AF6A-192614CAD3EC
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6322 DER_RWHDERS_Test_6322_Battery 632 B _45E6B850-23B3-4233-8829-59CFF130FAEF _7E1FDFE5-B95A-4A96-AF6A-192614CAD3EC
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6322 DER_RWHDERS_Test_6322_Battery 632 C _45E6B850-23B3-4233-8829-59CFF130FAEF _7E1FDFE5-B95A-4A96-AF6A-192614CAD3EC
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6323 DER_RWHDERS_Test_6323_Battery 632 SoC _C826DD4A-1424-4298-8E29-CD9281741CCD _82E69D13-1A59-46D9-83EE-D836F1149128
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6323 DER_RWHDERS_Test_6323_Battery 632 A _C826DD4A-1424-4298-8E29-CD9281741CCD _82E69D13-1A59-46D9-83EE-D836F1149128
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6323 DER_RWHDERS_Test_6323_Battery 632 B _C826DD4A-1424-4298-8E29-CD9281741CCD _82E69D13-1A59-46D9-83EE-D836F1149128
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6323 DER_RWHDERS_Test_6323_Battery 632 C _C826DD4A-1424-4298-8E29-CD9281741CCD _82E69D13-1A59-46D9-83EE-D836F1149128
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6331 DER_RWHDERS_Test_6331_Battery 633 SoC _D4AFBB71-3743-4D84-98BD-B37E070F32FE _83C38651-A9F7-43E9-80D2-AF56F7F17ECD
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6331 DER_RWHDERS_Test_6331_Battery 633 A _D4AFBB71-3743-4D84-98BD-B37E070F32FE _83C38651-A9F7-43E9-80D2-AF56F7F17ECD
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6331 DER_RWHDERS_Test_6331_Battery 633 B _D4AFBB71-3743-4D84-98BD-B37E070F32FE _83C38651-A9F7-43E9-80D2-AF56F7F17ECD
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6331 DER_RWHDERS_Test_6331_Battery 633 C _D4AFBB71-3743-4D84-98BD-B37E070F32FE _83C38651-A9F7-43E9-80D2-AF56F7F17ECD
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6332 DER_RWHDERS_Test_6332_Battery 633 SoC _0B701ABB-C53C-4B3E-B30B-CD378E5978CA _5F6FC4B5-BF68-4C3B-892A-D80B9C72FE38
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6332 DER_RWHDERS_Test_6332_Battery 633 A _0B701ABB-C53C-4B3E-B30B-CD378E5978CA _5F6FC4B5-BF68-4C3B-892A-D80B9C72FE38
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6332 DER_RWHDERS_Test_6332_Battery 633 B _0B701ABB-C53C-4B3E-B30B-CD378E5978CA _5F6FC4B5-BF68-4C3B-892A-D80B9C72FE38
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6332 DER_RWHDERS_Test_6332_Battery 633 C _0B701ABB-C53C-4B3E-B30B-CD378E5978CA _5F6FC4B5-BF68-4C3B-892A-D80B9C72FE38
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6333 DER_RWHDERS_Test_6333_Battery 633 SoC _C0B6F999-9F4E-4F47-B477-90A58B2D347C _B1F50865-6E8B-4D80-AFD0-1A5D5B3C5F2F
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6333 DER_RWHDERS_Test_6333_Battery 633 A _C0B6F999-9F4E-4F47-B477-90A58B2D347C _B1F50865-6E8B-4D80-AFD0-1A5D5B3C5F2F
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6333 DER_RWHDERS_Test_6333_Battery 633 B _C0B6F999-9F4E-4F47-B477-90A58B2D347C _B1F50865-6E8B-4D80-AFD0-1A5D5B3C5F2F
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6333 DER_RWHDERS_Test_6333_Battery 633 C _C0B6F999-9F4E-4F47-B477-90A58B2D347C _B1F50865-6E8B-4D80-AFD0-1A5D5B3C5F2F
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6341 DER_RWHDERS_Test_6341_Battery 634 SoC _408B8CF6-C8DE-4D35-801D-C1C55578C8FC _F73D80E6-1CB1-4FD8-A217-9084857F9E68
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6341 DER_RWHDERS_Test_6341_Battery 634 A _408B8CF6-C8DE-4D35-801D-C1C55578C8FC _F73D80E6-1CB1-4FD8-A217-9084857F9E68
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6341 DER_RWHDERS_Test_6341_Battery 634 B _408B8CF6-C8DE-4D35-801D-C1C55578C8FC _F73D80E6-1CB1-4FD8-A217-9084857F9E68
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6341 DER_RWHDERS_Test_6341_Battery 634 C _408B8CF6-C8DE-4D35-801D-C1C55578C8FC _F73D80E6-1CB1-4FD8-A217-9084857F9E68
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6342 DER_RWHDERS_Test_6342_Battery 634 SoC _2BA4EB32-AD41-438A-AB4F-D8EFC9A21502 _36C8D67F-3ACC-4FAB-89FD-5D6FA8BB9BAD
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6342 DER_RWHDERS_Test_6342_Battery 634 A _2BA4EB32-AD41-438A-AB4F-D8EFC9A21502 _36C8D67F-3ACC-4FAB-89FD-5D6FA8BB9BAD
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6342 DER_RWHDERS_Test_6342_Battery 634 B _2BA4EB32-AD41-438A-AB4F-D8EFC9A21502 _36C8D67F-3ACC-4FAB-89FD-5D6FA8BB9BAD
PowerElectronicsConnection BatteryUnit DER_RWHDERS_Test_6342 DER_RWHDERS_Test_6342_Battery 634 C _2BA4EB32-AD41-438A-AB4F-D8EFC9A21502 _36C8D67F-3ACC-4FAB-89FD-5D6FA8BB9BAD
