n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2390.7619882945773 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1385124536077 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.216665358009 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.216665358009 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.216665358009 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.216676334643 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.216676334643 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.216676334643 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.136855049235 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.136855049235 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.136855049235 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.27479957882 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.27479957882 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.27479957882 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.415252447502 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.415252447502 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.415252447502 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4771345359377 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4771345359377 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4771345359377 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4770516786343 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4770516786343 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4770516786343 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.111468441768 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.111468441768 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.111468441768 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.410198773877 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.410198773877 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.410198773877 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4126918570173 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4126918570173 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2396.4126918570173 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.4577431118114 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.4577431118114 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.4577431118114 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.250793037043 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.250793037043 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.250793037043 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.0896260821187 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.0896260821187 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.0896260821187 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.089595099857 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.089595099857 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.089595099857 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.125511600751 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.125511600751 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.125511600751 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.0914710228535 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.0914710228535 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.0914710228535 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.096155179558 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.096155179558 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.096155179558 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.248434832377 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.248434832377 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.248434832377 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.457818088063 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.457818088063 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.457818088063 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.8337981072136 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.8337981072136 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.8337981072136 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.3377030258807 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.3377030258807 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.3377030258807 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.3336116763053 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.3336116763053 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.3336116763053 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.8379601729184 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.8379601729184 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.8379601729184 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.837979597762 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.837979597762 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.837979597762 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.641384306972 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.641384306972 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.641384306972 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.248453775011 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.248453775011 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.248453775011 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1506270421373 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1506270421373 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1506270421373 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1989323420426 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1989323420426 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1989323420426 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.19124876389 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.19124876389 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.19124876389 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.225757655253 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.225757655253 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.225757655253 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.2257626421288 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.2257626421288 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.2257626421288 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.2379024746797 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.2379024746797 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.2379024746797 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.7715570109003 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.7715570109003 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.7715570109003 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.780776613952 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.780776613952 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.780776613952 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.408697901241 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.408697901241 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.408697901241 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.439737480175 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.439737480175 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.439737480175 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.440853985732 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.440853985732 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.440853985732 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.03701600322 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.03701600322 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.03701600322 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.023984571779 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.023984571779 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.023984571779 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.126718972665 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.126718972665 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.126718972665 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.144029940639 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.144029940639 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.144029940639 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.372206618763 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.372206618763 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.372206618763 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.261519333943 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.261519333943 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.261519333943 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.2634980226135 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.2634980226135 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.2634980226135 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.4831809048264 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.4831809048264 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.4831809048264 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.4595722201834 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.4595722201834 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.4595722201834 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.561027111955 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.561027111955 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.561027111955 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1945594842055 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1945594842055 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1945594842055 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1823728556 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1823728556 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1823728556 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.5360513762166 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.5360513762166 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.5360513762166 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.5478598381565 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.5478598381565 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.5478598381565 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2419.947767208472 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2419.947767208472 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2419.947767208472 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.3848494242484 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.3848494242484 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.3848494242484 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.893004030688 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.893004030688 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.893004030688 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.0427271499743 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.0427271499743 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.0427271499743 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.02059293105 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.02059293105 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.02059293105 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.9122653329187 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.9122653329187 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.9122653329187 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.9340270904295 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.9340270904295 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2360.9340270904295 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.6642213393957 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.6642213393957 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.6642213393957 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.364770358748 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.364770358748 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.364770358748 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.3988101603168 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.3988101603168 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.3988101603168 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.2902192618217 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.2902192618217 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.2902192618217 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.2866251520986 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.2866251520986 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.2866251520986 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1691086660194 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1691086660194 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2420.1691086660194 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.3903017535827 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.3903017535827 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.3903017535827 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.72823366173 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.72823366173 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.72823366173 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.721677597787 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.721677597787 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2361.721677597787 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.057834701129 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.057834701129 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2362.057834701129 	 C
