LinearShuntCompensator cap2 n611 C _914AAA0D-2390-4529-AB33-AEE59E116A6E _4D4249B6-B1C1-4FFB-923B-8E1FE55E8212
LinearShuntCompensator cap1 n675 A _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
LinearShuntCompensator cap1 n675 B _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
LinearShuntCompensator cap1 n675 C _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
PowerTransformer RatioTapChanger Reg 2 rg60 A _3508623F-8B18-43E5-9C47-076265A27FC5 _DEF7E7E5-E406-4D86-8437-C9DB746F5C18
PowerElectronicsConnection BatteryUnit trip_load_611_c_11 trip_load_611_c_11_Battery tlx_611_c_h_11 s2 _11FEE6E4-36CB-49EF-8162-8120DB275CC0 _84ACBD33-BB2A-4C05-9ED1-93A7F2E8C76B
PowerElectronicsConnection BatteryUnit trip_load_611_c_12 trip_load_611_c_12_Battery tlx_611_c_h_12 SoC _E487D07D-2340-4C7C-BB1F-4037558ED3BA _689A17B0-74AB-4860-8F7B-3CBE668AB7B2
PowerElectronicsConnection BatteryUnit trip_load_611_c_12 trip_load_611_c_12_Battery tlx_611_c_h_12 s1 _E487D07D-2340-4C7C-BB1F-4037558ED3BA _689A17B0-74AB-4860-8F7B-3CBE668AB7B2
PowerElectronicsConnection BatteryUnit trip_load_611_c_12 trip_load_611_c_12_Battery tlx_611_c_h_12 s2 _E487D07D-2340-4C7C-BB1F-4037558ED3BA _689A17B0-74AB-4860-8F7B-3CBE668AB7B2
PowerElectronicsConnection BatteryUnit trip_load_611_c_13 trip_load_611_c_13_Battery tlx_611_c_h_13 SoC _2F52E8C4-9ADF-4D6C-A3E9-075C4E0893BD _3C65D457-2C33-4394-96EA-9B5BEA1AE304
PowerElectronicsConnection BatteryUnit trip_load_611_c_13 trip_load_611_c_13_Battery tlx_611_c_h_13 s1 _2F52E8C4-9ADF-4D6C-A3E9-075C4E0893BD _3C65D457-2C33-4394-96EA-9B5BEA1AE304
PowerElectronicsConnection BatteryUnit trip_load_611_c_13 trip_load_611_c_13_Battery tlx_611_c_h_13 s2 _2F52E8C4-9ADF-4D6C-A3E9-075C4E0893BD _3C65D457-2C33-4394-96EA-9B5BEA1AE304
PowerElectronicsConnection BatteryUnit trip_load_611_c_14 trip_load_611_c_14_Battery tlx_611_c_h_14 SoC _5855ED0A-FE9B-4395-BB64-0F5ACECEA904 _955E9D0C-9F9D-4ED5-BB0D-0C1CF8872B9B
PowerElectronicsConnection BatteryUnit trip_load_611_c_14 trip_load_611_c_14_Battery tlx_611_c_h_14 s1 _5855ED0A-FE9B-4395-BB64-0F5ACECEA904 _955E9D0C-9F9D-4ED5-BB0D-0C1CF8872B9B
PowerElectronicsConnection BatteryUnit trip_load_611_c_14 trip_load_611_c_14_Battery tlx_611_c_h_14 s2 _5855ED0A-FE9B-4395-BB64-0F5ACECEA904 _955E9D0C-9F9D-4ED5-BB0D-0C1CF8872B9B
PowerElectronicsConnection BatteryUnit trip_load_611_c_15 trip_load_611_c_15_Battery tlx_611_c_h_15 SoC _7B6C3AE9-EE9C-4005-8801-1A59A363258B _A80D7DD4-F2D8-4547-8488-CAE5A1674C11
PowerElectronicsConnection BatteryUnit trip_load_611_c_15 trip_load_611_c_15_Battery tlx_611_c_h_15 s1 _7B6C3AE9-EE9C-4005-8801-1A59A363258B _A80D7DD4-F2D8-4547-8488-CAE5A1674C11
PowerElectronicsConnection BatteryUnit trip_load_611_c_15 trip_load_611_c_15_Battery tlx_611_c_h_15 s2 _7B6C3AE9-EE9C-4005-8801-1A59A363258B _A80D7DD4-F2D8-4547-8488-CAE5A1674C11
PowerElectronicsConnection BatteryUnit trip_load_611_c_16 trip_load_611_c_16_Battery tlx_611_c_h_16 SoC _799B1893-E0A7-4A99-B76E-01DDB11FE116 _346AC52C-92D3-4E27-B632-B0492048371C
PowerElectronicsConnection BatteryUnit trip_load_611_c_16 trip_load_611_c_16_Battery tlx_611_c_h_16 s1 _799B1893-E0A7-4A99-B76E-01DDB11FE116 _346AC52C-92D3-4E27-B632-B0492048371C
PowerElectronicsConnection BatteryUnit trip_load_611_c_16 trip_load_611_c_16_Battery tlx_611_c_h_16 s2 _799B1893-E0A7-4A99-B76E-01DDB11FE116 _346AC52C-92D3-4E27-B632-B0492048371C
PowerElectronicsConnection BatteryUnit trip_load_611_c_17 trip_load_611_c_17_Battery tlx_611_c_h_17 SoC _4A5BAEF3-D8E1-4F73-A3BA-BC438D049EA2 _0E378323-C963-4349-8182-7B61830CED02
PowerElectronicsConnection BatteryUnit trip_load_611_c_17 trip_load_611_c_17_Battery tlx_611_c_h_17 s1 _4A5BAEF3-D8E1-4F73-A3BA-BC438D049EA2 _0E378323-C963-4349-8182-7B61830CED02
PowerElectronicsConnection BatteryUnit trip_load_611_c_17 trip_load_611_c_17_Battery tlx_611_c_h_17 s2 _4A5BAEF3-D8E1-4F73-A3BA-BC438D049EA2 _0E378323-C963-4349-8182-7B61830CED02
PowerElectronicsConnection BatteryUnit trip_load_611_c_18 trip_load_611_c_18_Battery tlx_611_c_h_18 SoC _911E8121-FF38-472D-88BB-8FC264B624F0 _15369E1C-F581-4E4E-B76D-FE4D88C943F6
PowerElectronicsConnection BatteryUnit trip_load_611_c_18 trip_load_611_c_18_Battery tlx_611_c_h_18 s1 _911E8121-FF38-472D-88BB-8FC264B624F0 _15369E1C-F581-4E4E-B76D-FE4D88C943F6
PowerElectronicsConnection BatteryUnit trip_load_611_c_18 trip_load_611_c_18_Battery tlx_611_c_h_18 s2 _911E8121-FF38-472D-88BB-8FC264B624F0 _15369E1C-F581-4E4E-B76D-FE4D88C943F6
PowerElectronicsConnection BatteryUnit trip_load_611_c_19 trip_load_611_c_19_Battery tlx_611_c_h_19 SoC _1BD251B9-F55E-4CE2-8336-57E271E4DE09 _FF893DFF-9BA9-44E9-9119-0D4661C4FBFD
PowerElectronicsConnection BatteryUnit trip_load_611_c_19 trip_load_611_c_19_Battery tlx_611_c_h_19 s1 _1BD251B9-F55E-4CE2-8336-57E271E4DE09 _FF893DFF-9BA9-44E9-9119-0D4661C4FBFD
PowerElectronicsConnection BatteryUnit trip_load_611_c_19 trip_load_611_c_19_Battery tlx_611_c_h_19 s2 _1BD251B9-F55E-4CE2-8336-57E271E4DE09 _FF893DFF-9BA9-44E9-9119-0D4661C4FBFD
PowerElectronicsConnection BatteryUnit trip_load_611_c_2 trip_load_611_c_2_Battery tlx_611_c_h_2 SoC _8F179512-F427-4A71-BBE5-9D4B1F31037A _B9971F7F-D78D-47FC-A3CD-30514438FF28
PowerElectronicsConnection BatteryUnit trip_load_611_c_2 trip_load_611_c_2_Battery tlx_611_c_h_2 s1 _8F179512-F427-4A71-BBE5-9D4B1F31037A _B9971F7F-D78D-47FC-A3CD-30514438FF28
PowerElectronicsConnection BatteryUnit trip_load_611_c_2 trip_load_611_c_2_Battery tlx_611_c_h_2 s2 _8F179512-F427-4A71-BBE5-9D4B1F31037A _B9971F7F-D78D-47FC-A3CD-30514438FF28
PowerElectronicsConnection BatteryUnit trip_load_611_c_20 trip_load_611_c_20_Battery tlx_611_c_h_20 SoC _10C7C4A4-9FFB-4AA8-82AA-3998BD995AC8 _375DC5F9-F54C-47A7-A90F-A22F2A04BC77
PowerElectronicsConnection BatteryUnit trip_load_611_c_20 trip_load_611_c_20_Battery tlx_611_c_h_20 s1 _10C7C4A4-9FFB-4AA8-82AA-3998BD995AC8 _375DC5F9-F54C-47A7-A90F-A22F2A04BC77
PowerElectronicsConnection BatteryUnit trip_load_611_c_20 trip_load_611_c_20_Battery tlx_611_c_h_20 s2 _10C7C4A4-9FFB-4AA8-82AA-3998BD995AC8 _375DC5F9-F54C-47A7-A90F-A22F2A04BC77
PowerElectronicsConnection BatteryUnit trip_load_611_c_21 trip_load_611_c_21_Battery tlx_611_c_h_21 SoC _EE17DADA-6DD0-43A0-AB03-D3059B053B4D _F555E96E-A0DC-44D5-A6C9-8F24A6F28C3B
PowerElectronicsConnection BatteryUnit trip_load_611_c_21 trip_load_611_c_21_Battery tlx_611_c_h_21 s1 _EE17DADA-6DD0-43A0-AB03-D3059B053B4D _F555E96E-A0DC-44D5-A6C9-8F24A6F28C3B
PowerElectronicsConnection BatteryUnit trip_load_611_c_21 trip_load_611_c_21_Battery tlx_611_c_h_21 s2 _EE17DADA-6DD0-43A0-AB03-D3059B053B4D _F555E96E-A0DC-44D5-A6C9-8F24A6F28C3B
PowerElectronicsConnection BatteryUnit trip_load_611_c_22 trip_load_611_c_22_Battery tlx_611_c_h_22 SoC _26F3B016-BA28-4261-B491-27DD65261042 _92926630-C37F-4C9E-89D4-A8EC206949E3
PowerElectronicsConnection BatteryUnit trip_load_611_c_22 trip_load_611_c_22_Battery tlx_611_c_h_22 s1 _26F3B016-BA28-4261-B491-27DD65261042 _92926630-C37F-4C9E-89D4-A8EC206949E3
PowerElectronicsConnection BatteryUnit trip_load_611_c_22 trip_load_611_c_22_Battery tlx_611_c_h_22 s2 _26F3B016-BA28-4261-B491-27DD65261042 _92926630-C37F-4C9E-89D4-A8EC206949E3
PowerElectronicsConnection BatteryUnit trip_load_611_c_23 trip_load_611_c_23_Battery tlx_611_c_h_23 SoC _2B7DC35E-B91D-48CD-822D-14AB50F0B735 _26F261D0-7268-4947-86D3-38CCB4AD14F3
PowerElectronicsConnection BatteryUnit trip_load_611_c_23 trip_load_611_c_23_Battery tlx_611_c_h_23 s1 _2B7DC35E-B91D-48CD-822D-14AB50F0B735 _26F261D0-7268-4947-86D3-38CCB4AD14F3
PowerElectronicsConnection BatteryUnit trip_load_611_c_23 trip_load_611_c_23_Battery tlx_611_c_h_23 s2 _2B7DC35E-B91D-48CD-822D-14AB50F0B735 _26F261D0-7268-4947-86D3-38CCB4AD14F3
PowerElectronicsConnection BatteryUnit trip_load_611_c_24 trip_load_611_c_24_Battery tlx_611_c_h_24 SoC _F82C6701-7229-4F4F-B068-4A53B9A1CAA6 _57B6742C-3D48-419D-98D3-69FC4247F82B
PowerElectronicsConnection BatteryUnit trip_load_611_c_24 trip_load_611_c_24_Battery tlx_611_c_h_24 s1 _F82C6701-7229-4F4F-B068-4A53B9A1CAA6 _57B6742C-3D48-419D-98D3-69FC4247F82B
PowerElectronicsConnection BatteryUnit trip_load_611_c_24 trip_load_611_c_24_Battery tlx_611_c_h_24 s2 _F82C6701-7229-4F4F-B068-4A53B9A1CAA6 _57B6742C-3D48-419D-98D3-69FC4247F82B
PowerElectronicsConnection BatteryUnit trip_load_611_c_25 trip_load_611_c_25_Battery tlx_611_c_h_25 SoC _D5228A6E-0151-4269-999E-37E0F80D4CE6 _F9E7892A-359A-4EA4-A807-4DEA37A65040
PowerElectronicsConnection BatteryUnit trip_load_611_c_25 trip_load_611_c_25_Battery tlx_611_c_h_25 s1 _D5228A6E-0151-4269-999E-37E0F80D4CE6 _F9E7892A-359A-4EA4-A807-4DEA37A65040
PowerElectronicsConnection BatteryUnit trip_load_611_c_25 trip_load_611_c_25_Battery tlx_611_c_h_25 s2 _D5228A6E-0151-4269-999E-37E0F80D4CE6 _F9E7892A-359A-4EA4-A807-4DEA37A65040
PowerElectronicsConnection BatteryUnit trip_load_611_c_26 trip_load_611_c_26_Battery tlx_611_c_h_26 SoC _E94E8745-3E26-407A-97A1-1284475ED407 _F88E9779-4A0B-45B4-BF20-8313241BA8F5
PowerElectronicsConnection BatteryUnit trip_load_611_c_26 trip_load_611_c_26_Battery tlx_611_c_h_26 s1 _E94E8745-3E26-407A-97A1-1284475ED407 _F88E9779-4A0B-45B4-BF20-8313241BA8F5
PowerElectronicsConnection BatteryUnit trip_load_611_c_26 trip_load_611_c_26_Battery tlx_611_c_h_26 s2 _E94E8745-3E26-407A-97A1-1284475ED407 _F88E9779-4A0B-45B4-BF20-8313241BA8F5
PowerElectronicsConnection BatteryUnit trip_load_611_c_27 trip_load_611_c_27_Battery tlx_611_c_h_27 SoC _18BA2ACE-0051-411E-9516-36118D3A3E79 _CFF142B9-E40B-462B-9216-06D0A68D94E7
PowerElectronicsConnection BatteryUnit trip_load_611_c_27 trip_load_611_c_27_Battery tlx_611_c_h_27 s1 _18BA2ACE-0051-411E-9516-36118D3A3E79 _CFF142B9-E40B-462B-9216-06D0A68D94E7
PowerElectronicsConnection BatteryUnit trip_load_611_c_27 trip_load_611_c_27_Battery tlx_611_c_h_27 s2 _18BA2ACE-0051-411E-9516-36118D3A3E79 _CFF142B9-E40B-462B-9216-06D0A68D94E7
PowerElectronicsConnection BatteryUnit trip_load_611_c_28 trip_load_611_c_28_Battery tlx_611_c_h_28 SoC _7673A2CF-5E6D-4C34-BAB0-61E95FAD1A26 _FE2E042E-6A56-406E-8E4A-FC2AF8D1F78D
PowerElectronicsConnection BatteryUnit trip_load_611_c_28 trip_load_611_c_28_Battery tlx_611_c_h_28 s1 _7673A2CF-5E6D-4C34-BAB0-61E95FAD1A26 _FE2E042E-6A56-406E-8E4A-FC2AF8D1F78D
PowerElectronicsConnection BatteryUnit trip_load_611_c_28 trip_load_611_c_28_Battery tlx_611_c_h_28 s2 _7673A2CF-5E6D-4C34-BAB0-61E95FAD1A26 _FE2E042E-6A56-406E-8E4A-FC2AF8D1F78D
PowerElectronicsConnection BatteryUnit trip_load_611_c_29 trip_load_611_c_29_Battery tlx_611_c_h_29 SoC _41AD0887-843C-45C7-97AD-8AB9CAFDBEEA _466CEAE3-F43E-4C25-9CEA-9CE7901377C3
PowerElectronicsConnection BatteryUnit trip_load_611_c_29 trip_load_611_c_29_Battery tlx_611_c_h_29 s1 _41AD0887-843C-45C7-97AD-8AB9CAFDBEEA _466CEAE3-F43E-4C25-9CEA-9CE7901377C3
PowerElectronicsConnection BatteryUnit trip_load_611_c_29 trip_load_611_c_29_Battery tlx_611_c_h_29 s2 _41AD0887-843C-45C7-97AD-8AB9CAFDBEEA _466CEAE3-F43E-4C25-9CEA-9CE7901377C3
PowerElectronicsConnection BatteryUnit trip_load_611_c_3 trip_load_611_c_3_Battery tlx_611_c_h_3 SoC _DFBD3A4D-B661-4716-BFD3-31C13D22A3E7 _91DE3087-53F1-4BE2-96C0-9353058579B6
PowerElectronicsConnection BatteryUnit trip_load_611_c_3 trip_load_611_c_3_Battery tlx_611_c_h_3 s1 _DFBD3A4D-B661-4716-BFD3-31C13D22A3E7 _91DE3087-53F1-4BE2-96C0-9353058579B6
PowerElectronicsConnection BatteryUnit trip_load_611_c_3 trip_load_611_c_3_Battery tlx_611_c_h_3 s2 _DFBD3A4D-B661-4716-BFD3-31C13D22A3E7 _91DE3087-53F1-4BE2-96C0-9353058579B6
PowerElectronicsConnection BatteryUnit trip_load_611_c_30 trip_load_611_c_30_Battery tlx_611_c_h_30 SoC _05DCD0A9-9137-44EA-8D55-061097FBE474 _BE7639A0-C352-4594-8D9C-D67CB98F00DC
PowerElectronicsConnection BatteryUnit trip_load_611_c_30 trip_load_611_c_30_Battery tlx_611_c_h_30 s1 _05DCD0A9-9137-44EA-8D55-061097FBE474 _BE7639A0-C352-4594-8D9C-D67CB98F00DC
PowerElectronicsConnection BatteryUnit trip_load_611_c_30 trip_load_611_c_30_Battery tlx_611_c_h_30 s2 _05DCD0A9-9137-44EA-8D55-061097FBE474 _BE7639A0-C352-4594-8D9C-D67CB98F00DC
PowerElectronicsConnection BatteryUnit trip_load_611_c_31 trip_load_611_c_31_Battery tlx_611_c_h_31 SoC _5268C2B7-BEE3-43E1-A280-290BCDAACFEF _B9DC6FD4-A93F-47A5-9C3B-6FC72D896EEE
PowerElectronicsConnection BatteryUnit trip_load_611_c_31 trip_load_611_c_31_Battery tlx_611_c_h_31 s1 _5268C2B7-BEE3-43E1-A280-290BCDAACFEF _B9DC6FD4-A93F-47A5-9C3B-6FC72D896EEE
PowerElectronicsConnection BatteryUnit trip_load_611_c_31 trip_load_611_c_31_Battery tlx_611_c_h_31 s2 _5268C2B7-BEE3-43E1-A280-290BCDAACFEF _B9DC6FD4-A93F-47A5-9C3B-6FC72D896EEE
PowerElectronicsConnection BatteryUnit trip_load_611_c_32 trip_load_611_c_32_Battery tlx_611_c_h_32 SoC _0969C4A5-5E82-4077-9F89-ABB77D56961B _EFC0FB37-C425-4ABC-AB4F-91A6649E4310
PowerElectronicsConnection BatteryUnit trip_load_611_c_32 trip_load_611_c_32_Battery tlx_611_c_h_32 s1 _0969C4A5-5E82-4077-9F89-ABB77D56961B _EFC0FB37-C425-4ABC-AB4F-91A6649E4310
PowerElectronicsConnection BatteryUnit trip_load_611_c_32 trip_load_611_c_32_Battery tlx_611_c_h_32 s2 _0969C4A5-5E82-4077-9F89-ABB77D56961B _EFC0FB37-C425-4ABC-AB4F-91A6649E4310
PowerElectronicsConnection BatteryUnit trip_load_611_c_33 trip_load_611_c_33_Battery tlx_611_c_h_33 SoC _BF58E528-23E6-46E7-AA23-D717C61AA4DE _E6709EC9-D868-4A8D-BE8F-A11DBCC2261A
PowerElectronicsConnection BatteryUnit trip_load_611_c_33 trip_load_611_c_33_Battery tlx_611_c_h_33 s1 _BF58E528-23E6-46E7-AA23-D717C61AA4DE _E6709EC9-D868-4A8D-BE8F-A11DBCC2261A
PowerElectronicsConnection BatteryUnit trip_load_611_c_33 trip_load_611_c_33_Battery tlx_611_c_h_33 s2 _BF58E528-23E6-46E7-AA23-D717C61AA4DE _E6709EC9-D868-4A8D-BE8F-A11DBCC2261A
PowerElectronicsConnection BatteryUnit trip_load_611_c_34 trip_load_611_c_34_Battery tlx_611_c_h_34 SoC _AB5D2771-F811-4E01-90A8-A63E7421AEA4 _4CA77123-EA7D-4183-BE1B-1838B85DAD30
PowerElectronicsConnection BatteryUnit trip_load_611_c_34 trip_load_611_c_34_Battery tlx_611_c_h_34 s1 _AB5D2771-F811-4E01-90A8-A63E7421AEA4 _4CA77123-EA7D-4183-BE1B-1838B85DAD30
PowerElectronicsConnection BatteryUnit trip_load_611_c_34 trip_load_611_c_34_Battery tlx_611_c_h_34 s2 _AB5D2771-F811-4E01-90A8-A63E7421AEA4 _4CA77123-EA7D-4183-BE1B-1838B85DAD30
PowerElectronicsConnection BatteryUnit trip_load_611_c_35 trip_load_611_c_35_Battery tlx_611_c_h_35 SoC _1E765B9C-49BB-4A05-A398-87B753E2EAF2 _ED7C66B5-C4E0-45F1-B64B-EB7E40F7D313
PowerElectronicsConnection BatteryUnit trip_load_611_c_35 trip_load_611_c_35_Battery tlx_611_c_h_35 s1 _1E765B9C-49BB-4A05-A398-87B753E2EAF2 _ED7C66B5-C4E0-45F1-B64B-EB7E40F7D313
PowerElectronicsConnection BatteryUnit trip_load_611_c_35 trip_load_611_c_35_Battery tlx_611_c_h_35 s2 _1E765B9C-49BB-4A05-A398-87B753E2EAF2 _ED7C66B5-C4E0-45F1-B64B-EB7E40F7D313
PowerElectronicsConnection BatteryUnit trip_load_611_c_36 trip_load_611_c_36_Battery tlx_611_c_h_36 SoC _5C3BCF77-F4C3-4364-9A8D-C5F1CBB545FB _0605D4C0-C468-47EB-8744-3A5E77194428
PowerElectronicsConnection BatteryUnit trip_load_611_c_36 trip_load_611_c_36_Battery tlx_611_c_h_36 s1 _5C3BCF77-F4C3-4364-9A8D-C5F1CBB545FB _0605D4C0-C468-47EB-8744-3A5E77194428
PowerElectronicsConnection BatteryUnit trip_load_611_c_36 trip_load_611_c_36_Battery tlx_611_c_h_36 s2 _5C3BCF77-F4C3-4364-9A8D-C5F1CBB545FB _0605D4C0-C468-47EB-8744-3A5E77194428
PowerElectronicsConnection BatteryUnit trip_load_611_c_37 trip_load_611_c_37_Battery tlx_611_c_h_37 SoC _4864DFA2-9992-4C57-8961-41930E00C7D8 _C00153B3-3752-4D0A-8F6D-C0C07F513BB2
PowerElectronicsConnection BatteryUnit trip_load_611_c_37 trip_load_611_c_37_Battery tlx_611_c_h_37 s1 _4864DFA2-9992-4C57-8961-41930E00C7D8 _C00153B3-3752-4D0A-8F6D-C0C07F513BB2
PowerElectronicsConnection BatteryUnit trip_load_611_c_37 trip_load_611_c_37_Battery tlx_611_c_h_37 s2 _4864DFA2-9992-4C57-8961-41930E00C7D8 _C00153B3-3752-4D0A-8F6D-C0C07F513BB2
PowerElectronicsConnection BatteryUnit trip_load_611_c_38 trip_load_611_c_38_Battery tlx_611_c_h_38 SoC _F485DA49-4DBB-4B61-A2F4-CD4592A1A57C _38A53A0C-BC70-4308-BE5B-304701E2119E
PowerElectronicsConnection BatteryUnit trip_load_611_c_38 trip_load_611_c_38_Battery tlx_611_c_h_38 s1 _F485DA49-4DBB-4B61-A2F4-CD4592A1A57C _38A53A0C-BC70-4308-BE5B-304701E2119E
PowerElectronicsConnection BatteryUnit trip_load_611_c_38 trip_load_611_c_38_Battery tlx_611_c_h_38 s2 _F485DA49-4DBB-4B61-A2F4-CD4592A1A57C _38A53A0C-BC70-4308-BE5B-304701E2119E
PowerElectronicsConnection BatteryUnit trip_load_611_c_39 trip_load_611_c_39_Battery tlx_611_c_h_39 SoC _B25CE1E0-E4C0-4A19-B16A-434B65EA27A5 _D26C452E-676D-431A-8897-DCFFAE712BDA
PowerElectronicsConnection BatteryUnit trip_load_611_c_39 trip_load_611_c_39_Battery tlx_611_c_h_39 s1 _B25CE1E0-E4C0-4A19-B16A-434B65EA27A5 _D26C452E-676D-431A-8897-DCFFAE712BDA
PowerElectronicsConnection BatteryUnit trip_load_611_c_39 trip_load_611_c_39_Battery tlx_611_c_h_39 s2 _B25CE1E0-E4C0-4A19-B16A-434B65EA27A5 _D26C452E-676D-431A-8897-DCFFAE712BDA
PowerElectronicsConnection BatteryUnit trip_load_611_c_4 trip_load_611_c_4_Battery tlx_611_c_h_4 SoC _2E85FC00-8EE9-4AB1-8F50-79126A488F21 _5D97CD32-E828-4216-88B9-B9FE99BC4E7F
PowerElectronicsConnection BatteryUnit trip_load_611_c_4 trip_load_611_c_4_Battery tlx_611_c_h_4 s1 _2E85FC00-8EE9-4AB1-8F50-79126A488F21 _5D97CD32-E828-4216-88B9-B9FE99BC4E7F
PowerElectronicsConnection BatteryUnit trip_load_611_c_4 trip_load_611_c_4_Battery tlx_611_c_h_4 s2 _2E85FC00-8EE9-4AB1-8F50-79126A488F21 _5D97CD32-E828-4216-88B9-B9FE99BC4E7F
PowerElectronicsConnection BatteryUnit trip_load_611_c_40 trip_load_611_c_40_Battery tlx_611_c_h_40 SoC _7281CA67-54A1-460D-B756-C163815582B2 _267F240B-12DC-404E-9D78-A6183E967013
PowerElectronicsConnection BatteryUnit trip_load_611_c_40 trip_load_611_c_40_Battery tlx_611_c_h_40 s1 _7281CA67-54A1-460D-B756-C163815582B2 _267F240B-12DC-404E-9D78-A6183E967013
PowerElectronicsConnection BatteryUnit trip_load_611_c_40 trip_load_611_c_40_Battery tlx_611_c_h_40 s2 _7281CA67-54A1-460D-B756-C163815582B2 _267F240B-12DC-404E-9D78-A6183E967013
PowerElectronicsConnection BatteryUnit trip_load_611_c_5 trip_load_611_c_5_Battery tlx_611_c_h_5 SoC _6716CC8D-625B-46AA-9BB8-3722D6B26C77 _3D5DC4B5-3794-4CB3-9F64-1FF05B2F4B52
PowerElectronicsConnection BatteryUnit trip_load_611_c_5 trip_load_611_c_5_Battery tlx_611_c_h_5 s1 _6716CC8D-625B-46AA-9BB8-3722D6B26C77 _3D5DC4B5-3794-4CB3-9F64-1FF05B2F4B52
PowerElectronicsConnection BatteryUnit trip_load_611_c_5 trip_load_611_c_5_Battery tlx_611_c_h_5 s2 _6716CC8D-625B-46AA-9BB8-3722D6B26C77 _3D5DC4B5-3794-4CB3-9F64-1FF05B2F4B52
PowerElectronicsConnection BatteryUnit trip_load_611_c_6 trip_load_611_c_6_Battery tlx_611_c_h_6 SoC _E679E8AE-BFB6-4C48-A68D-B09144714E82 _24BFCBA4-AE6C-44BD-9499-B19708C211FE
PowerElectronicsConnection BatteryUnit trip_load_611_c_6 trip_load_611_c_6_Battery tlx_611_c_h_6 s1 _E679E8AE-BFB6-4C48-A68D-B09144714E82 _24BFCBA4-AE6C-44BD-9499-B19708C211FE
PowerElectronicsConnection BatteryUnit trip_load_611_c_6 trip_load_611_c_6_Battery tlx_611_c_h_6 s2 _E679E8AE-BFB6-4C48-A68D-B09144714E82 _24BFCBA4-AE6C-44BD-9499-B19708C211FE
PowerElectronicsConnection BatteryUnit trip_load_611_c_7 trip_load_611_c_7_Battery tlx_611_c_h_7 SoC _603DBECC-8EE5-4E3A-A26E-561E539C2BA5 _E5072D4E-E869-4137-80DD-62F093591C39
