Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Line.TRIP_LINE_652_A_H_8, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30595E-8,   -62.35, 2.03369E-12,   153.43, 8.13477E-12,   -63.43,          0,     0.00,          0,     0.00, 6.62122E-12,   -74.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_2,  0.0056878,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0056878,   -62.33, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_9, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30644E-8,   -62.34, 2.03369E-12,    26.57, 3.63798E-12,   -90.00,          0,     0.00,          0,     0.00, 3.27923E-12,   -56.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_10, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_11, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_12, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_13, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_14, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_15, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_16, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_3,  0.0056878,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0056878,   -62.33, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_17, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30644E-8,   -62.34, 2.03369E-12,    26.57, 3.63798E-12,   -90.00,          0,     0.00,          0,     0.00, 3.27923E-12,   -56.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_18, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_19, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_20, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_21, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_22, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_23, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_24, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_4,  0.0056878,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0056878,   -62.33, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_25, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30644E-8,   -62.34, 2.03369E-12,    26.57, 3.63798E-12,   -90.00,          0,     0.00,          0,     0.00, 3.27923E-12,   -56.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_26, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_27, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_28, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_29, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_30, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_31, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_32, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_5,  0.0056878,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0056878,   -62.33, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_33, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30644E-8,   -62.34, 2.03369E-12,    26.57, 3.63798E-12,   -90.00,          0,     0.00,          0,     0.00, 3.27923E-12,   -56.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_34, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_35, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_36, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_37, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_38, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_39, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30596E-8,   -62.32, 3.74994E-12,  -165.96, 3.63798E-12,     0.00,          0,     0.00,          0,     0.00, 9.09495E-13,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
